proj_id,display_name,policy_desc,aum,aum_year_ago,class_count,aum_growth_rate
M1029_2568,KTWC-INCOME RMF,ผสม,80802463.96,0.0,1,
M1030_2567,TUSENGY,ตราสารทุน,245035577.94,11790823.51,1,19.78188836701534
M1031_2553,I-Emerging 10S2,ผสม,20179243.12,19028459.41,1,0.060476977416008326
M1031_2568,A-SLVP,ตราสารทุน,1290695730.16,0.0,1,
M1034_2553,ES-GOLDSRMF,ทรัพย์สินทางเลือก,813925918.88,614385318.87,1,0.3247808726565966
M1035_2553,ES-GOLDS,ทรัพย์สินทางเลือก,1761713044.18,1001890867.18,1,0.7583881657077629
M1035_2568,SCBUSDUSFOCUS,ตราสารทุน,704031.85,0.0,1,
M1037_2568,SCBUSDGMCORE,ผสม,9225945.46,0.0,1,
M1038_2567,ES-GDIV-UH,ตราสารทุน,9811690.63,54094901.029999994,7,-0.8186207860042368
M1039_2568,MSILVER,ตราสารทุน,1151299393.06,0.0,1,
M1040_2568,TOP11VNM,ตราสารทุน,185703952.94,0.0,1,
M1041_2567,KT-NASDAQ,ตราสารทุน,4507287550.7,398739473.8,5,10.303840845616323
M1042_2567,KF-US-PLUS,ตราสารทุน,554771946.1,531403211.03000003,3,0.043975524770927255
M1048_2567,ASP-SDAILY,ตราสารหนี้,3468622838.62,4434434184.77,1,-0.21779810138282474
M1055_2568,SCBUSDSEMI,ตราสารทุน,11014374.65,0.0,1,
M1058_2568,UGDIVP-USD,ตราสารทุน,11930755.45,0.0,1,
M1060_2568,KF-GDIV-USD,ตราสารทุน,2714374.67,0.0,1,
M1063_2568,KKP AAA CLO-USD,ตราสารหนี้,27263814.74,0.0,1,
M1072_2568,TGOLD5M2,ทรัพย์สินทางเลือก,95195496.06,0.0,1,
M1077_2568,SCBUSDS&P500,ตราสารทุน,1611051.37,0.0,1,
M1078_2557,KF-INCOME,ผสม,939986430.19,966314565.42,1,-0.027245926090906702
M1080_2557,SCBMSEFUND,ตราสารทุน,699962765.41,431702207.82,4,0.6214018662185121
M1082_2568,B-WEALTHC,ผสม,7972740521.83,0.0,1,
M1084_2568,SCBUSDGOLD,ทรัพย์สินทางเลือก,3971240.46,0.0,1,
M1085_2568,KT-PRECIOUS RMF,ตราสารทุน,245275268.86,0.0,1,
M1086_2568,UGOV6M41,ตราสารหนี้,108115034.45,0.0,1,
M1087_2568,TLUSNDQRMF,ตราสารทุน,48146943.26,0.0,1,
M1088_2568,UGOV6M42,ตราสารหนี้,277892083.15,0.0,1,
M1089_2568,UGOV6M43,ตราสารหนี้,893191553.58,0.0,1,
M1090_2568,UGOV6M44,ตราสารหนี้,609756053.31,0.0,1,
M1094_2557,KFHCARERMF,ตราสารทุน,2243805164.88,2031650271.12,1,0.10442490854641262
M1094_2568,ASP-USDL,ตราสารหนี้,1564363.3,0.0,1,
