nav_date,M0155_2547,M0209_2548
2021-08-30,23.0382,33.2388
2021-08-31,23.1499,33.399
2021-09-01,23.058,33.2672
2021-09-02,23.3052,33.6206
2021-09-03,23.3644,33.7053
2021-09-06,23.2989,33.6102
2021-09-07,23.1625,33.4135
2021-09-08,23.2003,33.4678
2021-09-09,22.9564,33.1198
2021-09-10,23.0367,33.2339
2021-09-13,22.9482,33.1058
2021-09-14,22.7863,32.8727
2021-09-15,22.8195,32.9209
2021-09-16,22.8825,33.0115
2021-09-17,22.7929,32.8828
2021-09-20,22.4617,32.4077
2021-09-21,22.6206,32.6353
2021-09-22,22.6684,32.7035
2021-09-23,22.9561,33.1145
2021-09-27,22.822,32.9206
2021-09-28,22.7495,32.8171
2021-09-29,22.7883,32.8722
2021-09-30,22.6128,32.6197
2021-10-01,22.6275,32.6406
2021-10-04,22.772,32.848
2021-10-05,22.95,33.104
2021-10-06,22.8186,32.915
2021-10-07,23.025,33.2114
2021-10-08,23.1089,33.3318
2021-10-11,23.0316,33.2207
2021-10-12,23.2075,33.4728
2021-10-14,23.1514,33.3917
2021-10-15,23.1549,33.3964
2021-10-18,23.2387,33.5165
2021-10-19,23.0257,33.2115
2021-10-20,23.1152,33.3401
2021-10-21,23.1837,33.4387
2021-10-25,23.0418,33.2343
2021-10-26,23.07,33.2751
2021-10-27,22.9126,33.0484
2021-10-28,22.8973,33.0262
2021-10-29,22.8505,32.9582
2021-11-01,22.7506,32.8136
2021-11-02,22.8605,32.9715
2021-11-03,22.8019,32.887
2021-11-04,22.9761,33.1377
2021-11-05,22.9741,33.1346
2021-11-08,22.9785,33.139
2021-11-09,22.9849,33.1487
2021-11-10,22.9552,33.106
2021-11-11,22.969,33.1258
2021-11-12,22.9614,33.1153
2021-11-15,23.0641,33.2642
2021-11-16,23.1209,33.346
2021-11-17,23.1221,33.3478
2021-11-18,23.1837,33.4366
2021-11-19,23.0817,33.2898
2021-11-22,23.1921,33.4487
2021-11-23,23.1462,33.3836
2021-11-24,23.1908,33.4478
2021-11-25,23.1561,33.3975
2021-11-26,22.5561,32.5335
2021-11-29,22.2359,32.0739
2021-11-30,21.929,31.6298
2021-12-01,22.2258,32.059
2021-12-02,22.226,32.0594
2021-12-03,22.1307,31.9223
2021-12-07,22.4602,32.3975
2021-12-08,22.6111,32.6146
2021-12-09,22.5594,32.5401
2021-12-13,22.6646,32.6916
2021-12-14,22.7646,32.8364
2021-12-15,22.6007,32.5999
2021-12-16,22.9831,33.1508
2021-12-17,22.9203,33.061
2021-12-20,22.4835,32.4335
2021-12-21,22.5668,32.5528
2021-12-22,22.6258,32.6381
2021-12-23,22.8722,32.9922
2021-12-24,22.8531,32.965
2021-12-27,22.8606,32.9759
2021-12-28,23.0234,33.2098
2021-12-29,23.1835,33.4306
2021-12-30,23.2151,33.4521
2022-01-04,23.4168,33.741
2022-01-05,23.4887,33.8463
2022-01-06,23.0474,33.2106
2022-01-07,23.0986,33.2854
2022-01-10,23.0929,33.2777
2022-01-11,23.2326,33.4796
2022-01-12,23.3857,33.6997
2022-01-13,23.3524,33.6518
2022-01-14,23.2806,33.5481
2022-01-17,23.3449,33.6397
2022-01-18,23.1335,33.3349
2022-01-19,23.1695,33.387
2022-01-20,23.1992,33.43
2022-01-21,23.1197,33.3151
2022-01-24,23.0737,33.2491
2022-01-25,23.0806,33.2586
2022-01-26,23.2369,33.4827
2022-01-27,23.1459,33.3552
2022-01-28,23.1942,33.425
2022-01-31,23.2589,33.5187
2022-02-01,23.3724,33.681
2022-02-02,23.4102,33.7353
2022-02-03,23.4189,33.7481
2022-02-04,23.4914,33.8515
2022-02-07,23.5624,33.9517
2022-02-08,23.6874,34.1304
2022-02-09,24.1173,34.7439
2022-02-10,24.1423,34.7789
2022-02-11,24.1065,34.7271
2022-02-14,23.9584,34.5138
2022-02-15,24.1593,34.8023
2022-02-17,24.3033,35.0104
2022-02-18,24.3265,35.043
2022-02-21,23.9449,34.498
2022-02-22,23.877,34.3996
2022-02-23,24.0071,34.5855
2022-02-24,23.6197,34.0285
2022-02-25,23.8002,34.2884
2022-02-28,23.9134,34.4509
2022-03-01,24.0319,34.6212
2022-03-02,24.0709,34.6775
2022-03-03,24.1881,34.8451
2022-03-04,23.8199,34.3246
2022-03-07,23.2094,33.4494
2022-03-08,23.1979,33.4317
2022-03-09,23.4869,33.848
2022-03-10,23.5665,33.9636
2022-03-11,23.7403,34.2138
2022-03-14,23.8141,34.3195
2022-03-15,23.5885,33.9953
2022-03-16,23.8969,34.4381
2022-03-17,24.069,34.685
2022-03-18,23.9712,34.545
2022-03-21,23.8754,34.4071
2022-03-22,23.9132,34.4623
2022-03-23,23.8202,34.3302
2022-03-24,23.9071,34.4553
2022-03-25,23.8241,34.3358
2022-03-28,23.9077,34.4554
2022-03-29,24.0101,34.6016
2022-03-30,24.151,34.8033
2022-03-31,24.0768,34.6965
2022-04-01,24.1698,34.8296
2022-04-04,24.149,34.7998
2022-04-05,24.1169,34.7539
2022-04-07,23.79,34.2849
2022-04-08,23.7918,34.2872
2022-04-11,23.7072,34.1654
2022-04-12,23.6475,34.0794
2022-04-18,23.6536,34.0881
2022-04-19,23.7474,34.2227
2022-04-20,23.7657,34.2486
2022-04-21,23.8578,34.3814
2022-04-22,23.8138,34.3183
2022-04-25,23.5815,33.9851
2022-04-26,23.5499,33.9394
2022-04-27,23.4782,33.8365
2022-04-28,23.605,34.0195
2022-04-29,23.6149,34.0355
2022-05-03,23.5091,33.8843
2022-05-05,23.4745,33.8334
2022-05-06,23.2291,33.479
2022-05-09,22.9363,33.0561
2022-05-10,23.2026,33.4414
2022-05-11,23.1115,33.3102
2022-05-12,22.8404,32.9182
2022-05-13,22.9134,33.023
2022-05-17,22.625,33.6219
2022-05-18,22.7796,33.8448
2022-05-19,22.5351,33.4942
2022-05-20,22.7791,33.8556
2022-05-23,22.9997,34.1835
2022-05-24,22.8282,33.9287
2022-05-25,22.7794,33.8559
2022-05-26,22.909,34.0495
2022-05-27,23.0013,34.1863
2022-05-30,23.2036,34.4878
2022-05-31,23.355,34.7124
2022-06-01,23.3554,34.7131
2022-06-02,23.2074,34.4941
2022-06-06,23.1911,34.4691
2022-06-07,22.9789,34.153
2022-06-08,23.0388,34.2417
2022-06-09,23.1426,34.3958
2022-06-10,23.0141,34.2041
2022-06-13,22.5753,33.5524
2022-06-14,22.62,33.6189
2022-06-15,22.5091,33.4538
2022-06-16,22.0219,32.7295
2022-06-17,22.0248,32.734
2022-06-20,22.0538,32.7767
2022-06-21,22.2477,33.0648
2022-06-22,22.0403,32.7569
2022-06-23,21.9848,32.6751
2022-06-24,22.1451,32.9133
2022-06-27,22.3379,33.1991
2022-06-28,22.5701,33.5435
2022-06-29,22.4388,33.3488
2022-06-30,22.1596,32.9085
2022-07-01,22.2727,33.0745
2022-07-04,22.1525,32.8959
2022-07-05,21.982,32.6418
2022-07-06,21.9976,32.6639
2022-07-07,22.2445,33.0317
2022-07-08,22.2325,33.0143
2022-07-11,22.2632,33.0602
2022-07-12,22.0954,32.8102
2022-07-14,21.9571,32.605
2022-07-15,21.9178,32.547
2022-07-18,22.08,32.7882
2022-07-19,21.9015,32.5228
2022-07-20,21.9399,32.5804
2022-07-21,22.0096,32.6841
